"","Cod IBGE","Município","idhm_2010"
"1",3500105,"Adamantina",0.79
"2",3500204,"Adolfo",0.73
"3",3500303,"Aguaí",0.715
"4",3500402,"Águas da Prata",0.781
"5",3500501,"Águas de Lindóia",0.745
"6",3500550,"Águas de Santa Bárbara",0.757
"7",3500600,"Águas de São Pedro",0.854
"8",3500709,"Agudos",0.745
"9",3500758,"Alambari",0.712
"10",3500808,"Alfredo Marcondes",0.741
"11",3500907,"Altair",0.687
"12",3501004,"Altinópolis",0.73
"13",3501103,"Alto Alegre",0.7
"14",3501152,"Alumínio",0.766
"15",3501202,"Álvares Florence",0.728
"16",3501301,"Álvares Machado",0.758
"17",3501400,"Álvaro de Carvalho",0.688
"18",3501509,"Alvinlândia",0.722
"19",3501608,"Americana",0.811
"20",3501707,"Américo Brasiliense",0.751
"21",3501806,"Américo de Campos",0.745
"22",3501905,"Amparo",0.785
"23",3502002,"Analândia",0.754
"24",3502101,"Andradina",0.779
"25",3502200,"Angatuba",0.719
"26",3502309,"Anhembi",0.721
"27",3502408,"Anhumas",0.741
"28",3502507,"Aparecida",0.755
"29",3502606,"Aparecida d'Oeste",0.721
"30",3502705,"Apiaí",0.71
"31",3502754,"Araçariguama",0.704
"32",3502804,"Araçatuba",0.788
"33",3502903,"Araçoiaba da Serra",0.776
"34",3503000,"Aramina",0.74
"35",3503109,"Arandu",0.685
"36",3503158,"Arapeí",0.68
"37",3503208,"Araraquara",0.815
"38",3503307,"Araras",0.781
"39",3503356,"Arco Íris",0.722
"40",3503406,"Arealva",0.744
"41",3503505,"Areias",0.697
"42",3503604,"Areiópolis",0.695
"43",3503703,"Ariranha",0.733
"44",3503802,"Artur Nogueira",0.749
"45",3503901,"Arujá",0.784
"46",3503950,"Aspásia",0.735
"47",3504008,"Assis",0.805
"48",3504107,"Atibaia",0.765
"49",3504206,"Auriflama",0.773
"50",3504305,"Avaí",0.714
"51",3504404,"Avanhandava",0.705
"52",3504503,"Avaré",0.767
"53",3504602,"Bady Bassitt",0.746
"54",3504701,"Balbinos",0.669
"55",3504800,"Bálsamo",0.756
"56",3504909,"Bananal",0.733
"57",3505005,"Barão de Antonina",0.711
"58",3505104,"Barbosa",0.699
"59",3505203,"Bariri",0.75
"60",3505302,"Barra Bonita",0.788
"61",3505351,"Barra do Chapéu",0.66
"62",3505401,"Barra do Turvo",0.641
"63",3505500,"Barretos",0.789
"64",3505609,"Barrinha",0.725
"65",3505708,"Barueri",0.786
"66",3505807,"Bastos",0.751
"67",3505906,"Batatais",0.761
"68",3506003,"Bauru",0.801
"69",3506102,"Bebedouro",0.78
"70",3506201,"Bento de Abreu",0.744
"71",3506300,"Bernardino de Campos",0.734
"72",3506359,"Bertioga",0.73
"73",3506409,"Bilac",0.768
"74",3506508,"Birigui",0.78
"75",3506607,"Biritiba Mirim",0.712
"76",3506706,"Boa Esperança do Sul",0.681
"77",3506805,"Bocaina",0.742
"78",3506904,"Bofete",0.705
"79",3507001,"Boituva",0.78
"80",3507100,"Bom Jesus dos Perdões",0.713
"81",3507159,"Bom Sucesso de Itararé",0.66
"82",3507209,"Borá",0.746
"83",3507308,"Boracéia",0.754
