"","X.x","ano","turno","sigla_uf","sigla_partido","id_municipio","votos","resultado","cargo","porcentagem","X.y","Município","idhm_2010"
"1",1,2018,1,"SP","MDB",3501103,35,"nao eleito","presidente",0.696240302367217,13,"Alto Alegre",0.7
"2",2,2018,1,"SP","PATRIOTA",3501103,13,"nao eleito","presidente",0.258603540879252,13,"Alto Alegre",0.7
"3",3,2018,1,"SP","PDT",3501103,115,"nao eleito","presidente",2.287646707778,13,"Alto Alegre",0.7
"4",4,2018,1,"SP","PPL",3501103,2,"nao eleito","presidente",0.0397851601352695,13,"Alto Alegre",0.7
"5",5,2018,1,"SP","PSOL",3501103,4,"nao eleito","presidente",0.0795703202705391,13,"Alto Alegre",0.7
"6",6,2018,1,"SP","PDT",3501152,994,"nao eleito","presidente",5.07712738788436,14,"Alumínio",0.766
"7",7,2018,1,"SP","PDT",3501202,146,"nao eleito","presidente",2.73050308584253,15,"Álvares Florence",0.728
"8",8,2018,1,"SP","PSDB",3501202,397,"nao eleito","presidente",7.42472414438003,15,"Álvares Florence",0.728
"9",9,2018,1,"SP","PDT",3501301,869,"nao eleito","presidente",3.53036766199472,16,"Álvares Machado",0.758
"10",10,2018,1,"SP","PSTU",3501301,4,"nao eleito","presidente",0.0162502539102173,16,"Álvares Machado",0.758
"11",11,2018,1,"SP","PODE",3501400,6,"nao eleito","presidente",0.152866242038217,17,"Álvaro de Carvalho",0.688
"12",12,2018,1,"SP","REDE",3501400,13,"nao eleito","presidente",0.331210191082803,17,"Álvaro de Carvalho",0.688
"13",13,2018,1,"SP","PT",3501509,528,"2º turno","presidente",14.2050040355125,18,"Alvinlândia",0.722
"14",14,2018,1,"SP","DC",3501707,9,"nao eleito","presidente",0.0246893259814007,20,"Américo Brasiliense",0.751
"15",15,2018,1,"SP","REDE",3501707,151,"nao eleito","presidente",0.414232024799056,20,"Américo Brasiliense",0.751
"16",16,2018,1,"SP","PODE",3501806,12,"nao eleito","presidente",0.169947599490157,21,"Américo de Campos",0.745
"17",17,2018,1,"SP","PPL",3501806,1,"nao eleito","presidente",0.0141622999575131,21,"Américo de Campos",0.745
"18",18,2018,1,"SP","PDT",3501905,3113,"nao eleito","presidente",4.20193021529324,22,"Amparo",0.785
"19",19,2018,1,"SP","PT",3502002,200,"2º turno","presidente",3.7202380952381,23,"Analândia",0.754
"20",20,2018,1,"SP","PSDB",3502101,2762,"nao eleito","presidente",4.66719613376367,24,"Andradina",0.779
"21",21,2018,1,"SP","MDB",3502200,167,"nao eleito","presidente",0.687214517921073,25,"Angatuba",0.719
"22",22,2018,1,"SP","REDE",3502200,89,"nao eleito","presidente",0.366240072425003,25,"Angatuba",0.719
"23",23,2018,1,"SP","PDT",3502309,168,"nao eleito","presidente",2.4134463439161,26,"Anhembi",0.721
"24",24,2018,1,"SP","PSDB",3502408,197,"nao eleito","presidente",4.04933196300103,27,"Anhumas",0.741
"25",25,2018,1,"SP","PSTU",3502408,1,"nao eleito","presidente",0.0205549845837616,27,"Anhumas",0.741
"26",26,2018,1,"SP","PPL",3502606,4,"nao eleito","presidente",0.0751173708920188,29,"Aparecida d'Oeste",0.721
"27",27,2018,1,"SP","PATRIOTA",3502705,80,"nao eleito","presidente",0.311744992596056,30,"Apiaí",0.71
"28",28,2018,1,"SP","PATRIOTA",3502754,118,"nao eleito","presidente",0.560463569867959,31,"Araçariguama",0.704
"29",29,2018,1,"SP","DC",3502804,51,"nao eleito","presidente",0.0249760034476679,32,"Araçatuba",0.788
"30",30,2018,1,"SP","PPL",3502804,14,"nao eleito","presidente",0.00685615780916374,32,"Araçatuba",0.788
"31",31,2018,1,"SP","PPL",3503000,1,"nao eleito","presidente",0.0165152766308836,34,"Aramina",0.74
"32",32,2018,1,"SP","PT",3503000,809,"2º turno","presidente",13.3608587943848,34,"Aramina",0.74
"33",33,2018,1,"SP","REDE",3503000,11,"nao eleito","presidente",0.181668042939719,34,"Aramina",0.74
"34",34,2018,1,"SP","PSL",3503109,2112,"2º turno","presidente",26.6263237518911,35,"Arandu",0.685
"35",35,2018,1,"SP","PPL",3503158,0,"nao eleito","presidente",0,36,"Arapeí",0.68
"36",36,2018,1,"SP","PT",3503158,321,"2º turno","presidente",9.61653684841222,36,"Arapeí",0.68
"37",37,2018,1,"SP","PPL",3503307,34,"nao eleito","presidente",0.0247150500116306,38,"Araras",0.781
"38",38,2018,1,"SP","DC",3503356,1,"nao eleito","presidente",0.0344115622849277,39,"Arco Íris",0.722
"39",39,2018,1,"SP","PT",3503604,1171,"2º turno","presidente",10.232436211115,42,"Areiópolis",0.695
"40",40,2018,1,"SP","NOVO",3503703,207,"nao eleito","presidente",2.09387011936071,43,"Ariranha",0.733
"41",41,2018,1,"SP","PPL",3503703,1,"nao eleito","presidente",0.0101153145862836,43,"Ariranha",0.733
"42",42,2018,1,"SP","PSTU",3503703,0,"nao eleito","presidente",0,43,"Ariranha",0.733
